id,title,originalLanguage,genres,budget,revenue,popularity,voteAvg,voteCount,runtime,releaseYear,cluster_kmeans,cluster_hier,cluster_best
1627085,Immersed,fa,Drama|Crime,0.0,0.0,0.0357,0.0,0,95,2026.0,3,2,3
1626914,Cinderella,en,Animation,0.0,0.0,0.0357,0.0,0,3,2026.0,0,1,0
1626898,Aladdin,en,Animation,0.0,0.0,0.0214,0.0,0,2,2026.0,0,1,0
1626808,THE RING AND THE DECK,es,Thriller|Mystery|Documentary,0.0,0.0,0.0429,0.0,0,5,2026.0,1,1,1
1626678,Crimson High 3,en,Animation,0.0,0.0,0.0379,0.0,0,12,2026.0,0,1,0
1626234,Conversations with Rasparagus Asparagus Baragus,en,Comedy,1.0,1.0,0.0286,0.0,0,14,2026.0,0,0,0
1626010,Highway To Hell,en,Comedy,0.0,0.0,0.0596,0.0,0,39,2026.0,0,1,0
1625551,Pari's daughter,fa,Drama,0.0,0.0,0.0979,0.0,0,90,2026.0,3,0,3
1625043,Escort,fa,Action|Drama|Crime,0.0,0.0,0.1071,0.0,0,96,2026.0,3,2,3
1624457,Dream,fa,Drama,0.0,0.0,0.1536,0.0,0,106,2026.0,3,0,3
1624434,Lively,fa,Drama|Crime,0.0,0.0,0.2503,0.0,0,120,2026.0,3,2,3
1624429,ÙØ§ÛÙâØ³ÙØ§Ø±Û Ø¯Ø± ØªÙØ±Ø§Ù,fa,Romance|Comedy,0.0,0.0,0.7313,7.0,1,100,2026.0,1,0,1
1624424,Midnight,fa,War|Drama,0.0,0.0,0.149,0.0,0,100,2026.0,3,0,3
1624358,Emir - Posljednji dalmatinski teÅ¾ak,hr,,0.0,0.0,0.0404,0.0,0,45,2026.0,1,1,1
1624096,Our Dead Husband,en,Thriller|Mystery|TV Movie,0.0,0.0,0.7356,0.0,0,90,2026.0,2,2,2
1623951,Bonehead 2,en,Drama|Comedy|Romance,0.0,0.0,0.0837,0.0,0,7,2026.0,3,0,3
1623350,Crocodile Dose,en,Comedy,500.0,0.0,0.2017,10.0,1,70,2026.0,0,0,0
1623255,DoppelgÃ¤nger,en,Comedy|Drama,50000.0,0.0,0.133,0.0,0,13,2026.0,3,0,3
1619203,COLLAPSE,fr,Thriller|Science Fiction|Mystery,0.0,0.0,0.1112,0.0,0,0,2026.0,1,1,1
1616939,Enquanto VocÃª Me Lembrar,pt,Drama,0.0,0.0,0.1559,0.0,0,0,2026.0,3,0,3
1613540,NJPW Road to The New Beginning 2026 - Day 5,ja,,0.0,0.0,0.1526,0.0,0,154,2026.0,1,1,1
1610164,En attendant MaÃ©va,fr,,0.0,0.0,0.0071,0.0,0,20,2026.0,1,1,1
1608195,Misery Signals: The Final Performance,en,Music,0.0,0.0,0.0532,0.0,0,91,2026.0,0,1,0
1607288,Vain temps,fr,Drama,300.0,0.0,0.0357,0.0,0,0,2026.0,3,1,3
